연도,번호,도서명,저자명,출판사명
2013,147,듀이의 경험이론과 교육인식론,박천환,(주)학지사
2013,148,교육개혁의 논리와 현실,김용,교육과학사
2013,149,조선 성균관 교육 문화,장재천,교육과학사
2013,150,"위기, 변화, 그리고 공동체학습",허준,교육과학사
2013,151,한국어교육의 원리와 방법,박갑수,도서출판 역락
2013,152,신공화주의,필립 페팃,나남출판사
2013,153,열정적 정치,"제프 굿윈, 제임스 재스퍼, 프란체스카 폴레타",도서출판 한울
2013,154,"라틴아메리카의 전환 (상, 하)","김은중, 김희순, 김달관, 김윤경, 박원복, 박병규, 이성훈, 우석균, 이성형, 이은아, 조영현, 최진숙",도서출판 한울
2013,155,사회분업론,에밀 뒤르케임,아카넷
2013,156,한국인의 갈등의식의 지형과 변화,"윤인진, 윤상우, 이소영, 김선업, 조윤경, 송영호",고려대학교출판부
2013,157,동에서 서로 퍼진 근대 공민사회,조혜인,집문당
2013,158,이미지 문화사회학,이수안,북코리아
2013,159,Culture and Politics,Seongmin Hong,(사)서울대학교출판문화원
2013,160,독도영유의 진실 이해,신용하,(사)서울대학교출판문화원
2013,161,자발적복지사회,김경동,아르케
2013,162,젠더화된 몸의 기술,앤 발사모,아르케
2013,163,여성노동시대,김미경,나눔의집
2013,164,"대한민국, 복지국가의 길을 묻다-바람직하고 지속 가능한 시민복지국가를 향해","조흥식, 뤼이젠더, 스벤 요헴, 장은주, 이병천, 윤홍식, 김영순, 신진욱, 고세훈, 은수미, 이상호",이매진
2013,165,국민연금기금의 투자전략과 지배구조,"김연명, 주은선, 정창률, 원종현, 정재철, 정해식, 이은주",인간과복지
2013,166,사회적 기업을 말한다: 이론과 실제,"강욱모, 최문경, 강병준, 심창학, 채종헌, 김종수, 권영빈, 최조순",도서출판 오름
2013,167,사회적 경제와 자활기업,"김정원, 백학영, 이문국, 전세나, 조성은",아르케
2013,168,인지과학,Jose Luis Bermudez,도서출판 박학사
2013,169,신경유전학적 발달장애,"Michele M. M. Mazzocco, Judith L. Ross",(주)시그마프레스
2013,170,신경언어장애,김향희,(주)시그마프레스
2013,171,기억과 감정,James L. McGaugh,(주)시그마프레스
2013,172,심리치료이론과 가족치료,김유숙,(주)학지사
2013,173,다문화교육의 심리학적 이해,김혜온,(주)학지사
2013,174,현대 심리치료와 상담 이론,권석만,(주)학지사
2013,175,융 심리학과 티베트불교의 진수,Radmila Moacanin,(주)학지사
2013,176,사회관계론의 동.서 비교,조긍호,서강대학교출판부
2013,177,한국인의 두모사상,남영우,(주)푸른길
2013,178,자본의 도시,최병두,도서출판 한울
2013,179,두만강 하구 녹둔도 연구,"이기석, 이옥희, 최한성, 안재섭, 남영",(사)서울대학교출판문화원
2013,180,지명과 권력-한국 지명의 문화정치적 변천-,김순배,경인문화사
2013,181,중국현대정치사,로드릭 맥파커,(주)푸른길
2013,182,미국의 자유주의 전통,루이스 하츠,나남출판사
2013,183,19세기 동아시아의 패러다임 변환과 다중거울,강상규,논형
2013,184,대의정부론,존 스튜어트 밀,아카넷
2013,185,정보시대의 인간안보: 감시사회인가? 복지사회인가?,조화순,집문당
2013,186,근대한국 국제정치관 자료집(제1권 개항ㆍ대한제국기),"장인성, 김현철, 김종학",(사)서울대학교출판문화원
2013,187,현대 중국정치 제도와 과정,이계희,충남대학교출판문화원
2013,188,중국의 법치와 정치개혁,조영남,(주)창비
2013,189,북대서양조약기구 NATO,이수형,서강대학교출판부
2013,190,기후변화 대처와 미국 패권의 딜레마,손병권,서강대학교출판부
2013,191,북한의 외교정책과 대외관계: 협상과 도전의 전략적 선택,김계동,명인문화사
2013,192,법과 정치,김홍우,도서출판 인간사랑
2013,193,근대 탈근대 정치의 이해,"유홍림, 임경훈, 정병기, 김남국, 임혜란, 홍태영, 이병택, 김범수, 류석진, 이상신, 구갑우, 백창재",도서출판 인간사랑
2013,194,近代韓國外交文書 (1~5),김용구 외,동북아역사재단
2013,195,글로벌시대 한국과 국제협력,윤영미,도서출판 두남
