검색어 ,,,,,,,
총 525건 중 525건 출력,,,,,,,
No.,자료 유형,서명,저자,출판사,청구기호,출판년,수록 매체
130,단행본,(ST-IT convergence) 위성 지상국 융합기술 : 지구관측위성을 중심으로,은종원,가람,621.3825 017가,2017,
131,단행본,초전도 과학교실 : 눈으로 보는 양자역학,김찬중 金瓚中,하늬바람에 영글다,537.623 017가,2017,
132,단행본,자궁내막증,대한자궁내막증학회,군자,BA 618.1 017가,2017,
133,단행본,도자기로 보는 조선왕실문화,방병선 方炳善,민속원,951.5 016모,2016,
134,단행본,소아 이비인후과학,대한소아이비인후과학회,군자,618.9209751 016가,2016,
135,단행본,효문제의 '한화'정책과 낙양 호인사회 : 북위 후기 호속 유지 현상과 그 배경,최진열,한울엠플러스,952.39 016가,2016,
136,단행본,기로에 선 이성 : 셸링 철학,이광모,용의숲,193 Sch26Y 016가,2016,
137,단행본,"(정본완역) 두보전집. 제7권, 두보2차성도시기시역해",두보 杜甫,서울대학교출판문화원,812.1 두보 가010가,2016,
138,단행본,정신현상학의 이념,강순전,세창출판사,142.7 016갸,2016,
139,단행본,橘窓書影 : 물오약실방함구결과 함께 읽는 淺田宗伯 치험록,천전종백 淺田宗伯,물고기숲,610.953 016가,2016,
140,단행본,"무용교육탐구 : 무용 가르치기의 목적, 내용, 방법 재검토",최의창,레인보우북스,792.807 016가,2016,
141,단행본,전 지구적 지체구조론,"Kearey, P",씨아이알,551.136 016가,2016,
142,단행본,치매의 신경행동증상,대한치매학회. 신경행동연구회,대한의학 : 대한의학서적,616.831 017가,2017,
143,단행본,심근경색증,대한심장학회. 심근경색연구회,대한의학,616.12 016가,2016,
144,단행본,"디지털 의료영상처리 : 기초부터 분석, 응용까지","Dougherty, Geoff",홍릉과학출판사,616.0754 017가,2017,
145,단행본,한국 마을旗의 존재양상과 사회문화적 의미,김선태 金善泰,민속원,398.0951 016노,2016,
146,단행본,김수영과 베이다오의 참여의식 비교연구,이미옥,박문사,811.1 김수영 Y016갸,2016,
147,단행본,종교와 세시풍속,편무영 片茂永,민속원,398.0951 016뇨,2016,
148,단행본,(교사 교육을 위한) 국악교육논총,변미혜 卞美惠,민속원,음악도 789.907 016갸,2016,
149,단행본,(벨연구소에서 전망하는) 미래 네트워크,"Weldon, Marcus K",휴먼싸이언스,004.6 016너,2016,
150,단행본,한국 인형극의 역사와 미학,박진태 朴鎭泰,민속원,791.53 017가,2017,
151,단행본,알기 쉬운 신장이식,조원현,계명대학교,617.461 017가,2017,
152,단행본,청각학 : 인공와우재활,허승덕,박학사,617.8 016가,2016,
153,단행본,열대병과 소외열대병,임한종 淋漢鍾,자유아카데미,616.9883 016가,2016,
154,단행본,소프트웨어와 컴퓨팅 사고,김대수 金大洙,생능출판,005.1 016두,2016,
155,단행본,"유아교육과 보육, 불평등의 묘판 : 교육과 생애기회 불평등의 근원을 찾아서",오욱환 吳旭煥,교육과학사,372.21 017뉴,2017,
156,단행본,(선진기업의 조건) 품격경영,유한주 柳漢胄,KSAM,658.4052 016겨,2016,
157,단행본,한국의 종교와 종교사 : 유고집,윤이흠 尹以欽,박문사,200.951 017거,2017 / 2판,
158,단행본,재난 리스크 제대로 관리하기,장동한,율곡출판사,353.95 016갸,2016,
159,단행본,(박물관·미술관) 경영전략,전영웅 全永雄,민속원,069.068 016가,2016,
160,단행본,한국 고전시가 총론,성호경 成昊慶,태학사,811.91 016규,2016,
161,단행본,고려시대 사람들의 의복식 생활,박용운,景仁文化社,391.00951 016고,2016,
162,단행본,애로우의 불가능성 정리,"Maskin, Eric S.",해남,324.65 016가,2016,
163,단행본,"氏族大全 譯註. 1, 上平聲",김만원 金萬源,역락,929.352 016가,2016,
164,단행본,"氏族大全 譯註. 2, 下平聲",김만원 金萬源,역락,929.352 016가,2016,
165,단행본,"氏族大全 譯註. 3, 上聲",김만원 金萬源,역락,929.352 016가,2016,
166,단행본,"氏族大全 譯註. 4, 去聲·入聲·複姓",김만원 金萬源,역락,929.352 016가,2016,
167,단행본,브라흐마 수뜨라 주석. 4,Śaṅkarācārya,세창,181.6 Sa58b 016가,2016,
168,단행본,의료과오소송으로 배우는 임상의학,김장한 金長漢,정담미디어,법학도 344.0411 016교,2016,
169,단행본,노인치의학,대한노년치의학회,지성출판사,617.6 016거,2016,
170,단행본,장부경락학,신흥묵,청홍 : 지상사,619.2 016가,2016,
171,단행본,학교수학과 수학적 연결성,장혜원,경문사,510.7 016구,2016,
172,단행본,노인재활의학,대한노인재활의학회,군자출판사,BA 618.97703 016가,2016,
173,단행본,국악 고문헌 연구,한지훈 韓芝薰,소명출판,음악도 789.9 016구,2016,
174,단행본,"연시조 작품론 일반 : 결속, 종결, 구조, 주제 등을 중심으로",양희철 楊熙喆,월인,811.917 016교,2016,
175,단행본,폐수처리공학. 1,"Tchobanoglous, George",동화기술,628.3 016가,2016,
176,단행본,폐수처리공학. 2,"Tchobanoglous, George",동화기술,628.3 016가,2016,
177,단행본,(경영자와 실무전문가를 위한) 프로세스 마이닝,강영식,한나래아카데미,658.4038 016너,2016,
178,단행본,행정절차와 행정소송,김철용 金鐵容,피앤씨미디어,법학도 342.066 017구,2017,
179,단행본,한국 근대문학의 러시아 문학 수용,권영민 權寧珉,서울대학교출판문화원,811.09 016며,2016,
180,단행본,종교경제행위론,"Stark, Rodney",북코리아,306.6 016고,2016,
181,단행본,(싱가포르의 재도약을 선도한) 역동적 거버넌스 : 명품행정의 조건과 정책사례의 학습,"Neo, Boon Siong",행복에너지,351.5957 016가,2016,
182,단행본,선의 매혹적인 힘 : 그리스도교 윤리학의 이론과 실제,"Härle, Wilfried",북코리아,241 016갸,2016,
183,단행본,한국현대소설의 이론과 쟁점,최영자 崔永慈,국학자료원,811.309 016더,2016,
184,단행본,이상평전 : 암호적 예술의 숲을 찾아서,이보영 李甫永,전북대학교출판문화원,811.37 이상 Y016가,2016,
185,단행본,아동환경 디자인,최목화,교문사,727.1 017가,2017,
186,단행본,천연물 의약품,,동명사,615.321 016가,2016,
187,단행본,탐구를 통한 지리학습 : 중등학교를 위한 교수·학습방법,"Roberts, Margaret",푸른길,910.712 016가,2016,
188,단행본,창의적 설계를 위한 가이드북,주문원,다올미디어,620.0042 016댜,2016,
189,단행본,범패의 역사와 지역별 특징 : 경제·영제·완제 어떻게 다른가? : compared with Gyeongje·Yeongje and Wanje,윤소희 尹昭喜,민속원,음악도 781.743 016갸,2016,
190,단행본,클레즈머 : 유대 디아스포라 음악에서 월드뮤직으로,"Rogovoy, Seth",민속원,음악도 781.62 016가,2016,
191,단행본,한국 설화의 담화 분석,주신자 朱新子,집문당,411.0141 016가,2016,
192,단행본,공간을 위하여,"Massey, Doreen",심산,304.201 016가,2016,
193,단행본,요트설계원론,"Larsson, Lars",동명사,623.812 016가,2016,
194,단행본,현대중국의 제국몽 : 중화의 재보편화 100년의 실험,전인갑 田寅甲,學古房,952.7 016구,2016,
195,단행본,동도관의 변화로 본 한국 근대철학,홍원식 洪元植,예문서원,181.13 016거,2016,
196,단행본,(철도의 미래) 2030년의 철도,이성혁,씨아이알,625.1 016갸,2016,
197,단행본,"종교, 미디어, 감각",이창익,모시는사람들,200 016고,2016,
198,단행본,브라흐마 수뜨라 주석. 1,Śaṅkarācārya,세창,181.6 Sa58b 016가,2016,
199,단행본,브라흐마 수뜨라 주석. 2,Śaṅkarācārya,세창,181.6 Sa58b 016가,2016,
200,단행본,브라흐마 수뜨라 주석. 3,Śaṅkarācārya,세창,181.6 Sa58b 016가,2016,
201,단행본,문제해결 : 문제를 골칫거리에서 도전거리로 변화시키기,박주용,학지사,153.43 016거,2016,
202,단행본,"메리 로스 : 여성, 문학, 스토아 사상",이진아,한국문화사,823 W946Y 017가,2017,
203,단행본,한국인의 질병 발생 및 관리 양상과 보건문제 : 현지역학조사의 연구 자료와 체험을 바탕으로-못다한 이야기들,김정순 金貞順,신광출판사,614.4 017가,2017,
204,단행본,음악치료 탐구 : 논점과 이해,"Aigen, Kenneth",학지사,615.85154 016갸,2016,
205,단행본,(광복이전) 조선영화비평사,김수남 金壽南,연극과인간,791.430951 016그,2016,
206,단행본,근거기반 보건의료,박병주,박영사,610 018겨,2018,
207,단행본,공감의 존재론,한상연,세창출판사,152.4 018구,2018,
208,단행본,비교법문화론 : 로마법학자가 본 조선의 전통 법문화,최병조 崔秉祚,민속원,법학도 340.2 018가,2018,
209,단행본,초기 기독교와 요세푸스 : 헬레니즘 시대의 유대교를 배경으로,박찬웅,동연,225.9 018가,2018,
210,단행본,일제강점기 한국철학 : 한국현대철학의 여명기를 개척한 철학자들의 고뇌와 사유,이태우,살림터,181.13 018거,2018,
211,단행본,한국형 인재양성 모델과 경험 I : 공공부문편. 상,성균관대학교. 국정전문대학원. 토대연구 한국형 인재양성 모델 및 전략의 세계적 확산과 공유 사업단,율곡출판사,352.66 017갸,2017,
212,단행본,(Goodwin & Guze의) 이상 행동의 이해와 분류,"North, Carol S",글로벌콘텐츠,616.89 018기,2018,
213,단행본,(새로 쓰는) 지역사회영양학,장남수,교문사,613.2 017다,2017,
214,단행본,EU行政法硏究,김중권 金重權,法文社,법학도 342.2406 018가,2018,
215,단행본,Implant overdenture의 핵심 원리와 실전 노하우,이정열,대한나래,617.693 017가,2017,
216,단행본,데이터 시각화 원리 : 인포그래픽 원리와 엑셀 활용 방법을 기초로 한 데이터 시각화 안내서,"Camões, Jorge",에이콘,005.54 017나,2017,
217,단행본,수학 : 학제적 대화코드,신현용,매디자인,510.2 018규,2018,
218,단행본,유클리드 기하와 그 너머,이난이,Kyowoo : 교우,516.2 018가,2018,
219,단행본,장문계갑문사 건상·건하·곤상,진영미 晉永美,보고사,811.908 013갸,2017,
220,단행본,전기기계,정승기,학산미디어,621.313 018가,2018,
221,단행본,전립선암,대한전립선학회,일조각,616.99463 017가,2017,
222,단행본,중국의 종교 : 공산통치하에서의 생존과 부흥,양봉강 楊鳳崗,다산,200.952 017가,2017,
223,단행본,"청년실업, 노동시장, 그리고 국가 : 학제간·국가 비교",심창학,오름,331.34137 017가,2017,
224,단행본,체계적인 소프트웨어 제품라인 개발,강성원,홍릉과학출판사,005.1 017리,2017,
225,단행본,컴퓨팅 사고력,한치근,배움터,005.1 018더,2018,
226,단행본,식품위생학,박경진,창지사,363.192 017가,2017,
227,단행본,(수학적 접근방법에 의한) 전략적 국방분석,강정흥,Kyowoo : 교우,355.4 017규,2017,
228,단행본,"검열, 실종된 작품과 문학사의 복원",문한별,高麗大學校 民族文化硏究院,811.09 017무,2017,
229,단행본,"광경화형(UV,EB,LED) 고분자 화학",임진규,한국학술정보,547.7 017갸,2017,
230,단행본,국어 교과서의 탄생,강진호,글누림,411.07 017냐,2017,
231,단행본,길고 멋진 미래 : 행복한 노년 준비하기,"Carstensen, Laura L",박영story : 피와이메이트,613.2 017니,2017,
232,단행본,(마르틴 부버) 만남의 교육철학,강선보 姜善甫,박영story : 피와이메이트,370.1 018노,2018,
233,단행본,보험법,한기정,박영사,법학도 346.086 017거,2017,
234,단행본,세계의 후견제도 : 고령자와 장애인을 위한 의사결정지원제도의 모색,"Dayton, Kimberly",율곡출판사,법학도 346.018 017갸,2017,
235,단행본,蓀谷 李達 詩 譯解,이달 李達,학자원,811.916 이달 가017가,2017,
236,단행본,실무지질공학,"Hencher, Steve",씨아이알,624.151 017가,2017,
237,단행본,심리구성체론의 동·서 비교 : 도덕심리학의 새 지평,조긍호 趙兢鎬,서강대학교출판부,170 017누,2017,
