검색어 ,,,,,,,
총 333건 중 333건 출력,,,,,,,
No.,자료 유형,서명,저자,출판사,청구기호,출판년,수록 매체
143,단행본,빌 게이츠는 왜 아프리카에 갔을까 : 거짓 관용의 기술,"Astruc, Lionel",소소의책,361.74 021가,2021,
144,단행본,"우리는 독점 기업 시대에 살고 있다 : 아마존부터 교도소까지, 대기업 권력 시대의 삶","Dayen, David",열린책들,338.82 021가,2021,
145,단행본,우리 우주 : 천문학자의 가이드,"Dunkley, Jo",김영사,523.1 021교,2021,
146,단행본,사지 않고 삽니다 : 나만의 라이프스타일을 완성하는 구독경제 소비생활,정희선,미래의창,658.812 021겨,2021,
147,단행본,"물은 H2O인가? : 증거, 실재론, 다원주의",장하석,김영사,546.22 021가,2021,
148,단행본,나를 모르는 사람들에게 : 주원규 장편소설,주원규,한겨레출판,811.37 주원규 나021가,2021,
149,단행본,"(인종차별주의자와) 대화하는 법 : 역사, 과학, 인종, 그리고 현실","Rutherford, Adam",삼인,305.8 021가,2021,
150,단행본,절멸,정혜윤,Workroom,577.27 021가,2021,
151,단행본,"(축구의 제국,) 프리미어리그 : 가장 부유하고 파괴적인 스포츠 산업이 되기까지","Robinson, Joshua",Water Bear Press,796.334 021거,2021,
152,단행본,왜 살아야 하는가 : 삶과 죽음이라는 문제 앞에 선 사상가 10인의 대답,"Hauskeller, Michael",추수밭,128 021구,2021,
153,단행본,음식물 쓰레기 전쟁 : 인간의 이기적 욕망을 고발하는 충격 리포트,"Smith, Andrew F.",와이즈맵,338.19 021거,2021,
154,단행본,뭉우리돌의 바다 : 국외독립운동 이야기 : 인도·멕시코·쿠바·미국 편,김동우,수오서재,951.61 021갸,2021,
155,단행본,"미국 외교의 대전략 : 자유주의 패권의 연장인가, 역외균형으로의 복귀인가","Walt, Stephen M.",김앤김북스,327.73009 021가,2021,
156,단행본,친일파 열전 : 박시백 역사만화,박시백,비아북,951.6092 021갸,2021,
157,단행본,"기계, 권력, 사회 : 인터넷은 어떻게 권력이 되었는가",박승일,사월의책,303.483 021더,2021,
158,단행본,식욕의 과학 : 우리 몸을 지배하는 식욕에 대한 모든 것,"Jenkinson, Andrew",현암사,613.2 021기,2021,
159,단행본,방관자 효과 : 당신이 침묵의 방관자가 되었을 때 일어나는 나비 효과,"Sanderson, Catherine Ashley",쌤앤파커스,170.44 021나,2021,
160,단행본,인공지능은 무엇이 되려 하는가 : AI의 가능성과 위험을 바라보는 석학 25인의 시선,"Pinker, Steven",프시케의숲,006.3 021뎌,2021,
161,단행본,"(랍반 사우마의) 서방견문록 : 쿠빌라이 칸의 특사, 중국인 최초로 유럽을 여행하다","Rossabi, Morris",사회평론아카데미,929.2092 Sa86 021가,2021,
162,단행본,당신을 위한 것이나 당신의 것은 아닌 : 서울과 파리를 걸으며 생각한 것들 : 정지돈 산문,정지돈,문학동네,811.4 정지돈 당021가,2021,
163,단행본,죽기는 싫으면서 천국엔 가고 싶은 : 생명윤리학의 쟁점들,"Gutmann, Amy",후마니타스,174.2 021겨,2021,
164,단행본,부의 흑역사 : 왜 금융은 우리의 경제와 삶을 망치는 악당이 되었나,"Shaxson, Nicholas",부키,332.042 021갸,2021,
