,주류,제목,저자,링크,출판사,출판 연도
352,400,(Pagoda) TOEIC speaking : basic,파고다교육그룹. 언어교육연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000000840125,위트앤위즈덤 :,2012
353,400,(Siwonschool) TOEFL basic,시원스쿨어학연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000002161077,시원스쿨Lab : 에스제이더블유인터내셔널,2023
354,400,(Siwonschool) TOEFL listening,제니,https://library.yonsei.ac.kr/search/detail/CATTOT000002161082,시원스쿨Lab : 에스제이더블유인터내셔널,2023
355,400,(Siwonschool) TOEFL reading,유형진,https://library.yonsei.ac.kr/search/detail/CATTOT000002161079,시원스쿨Lab : 에스제이더블유인터내셔널,2023
356,400,(Siwonschool) TOEFL speaking,유형진,https://library.yonsei.ac.kr/search/detail/CATTOT000002161081,시원스쿨Lab : 에스제이더블유인터내셔널,2023
357,400,(Siwonschool) TOEFL writing,박주영,https://library.yonsei.ac.kr/search/detail/CATTOT000002161080,시원스쿨Lab : 에스제이더블유인터내셔널,2023
358,400,(딱! 한권) JLPT : N3,JLPT연구모임,https://library.yonsei.ac.kr/search/detail/CATTOT000002082265,시사일본어사,2017
359,400,(새) 연세한국어 듣기와 읽기 : 일본어판. 3-2,연세대학교. 한국어학당,https://library.yonsei.ac.kr/search/detail/CATTOT000001978836,연세대학교 대학출판문화원,2019
360,400,(새) 연세한국어 말하기와 쓰기 : 일본어판. 2-1,연세대학교. 한국어학당,https://library.yonsei.ac.kr/search/detail/CATTOT000002117715,연세대학교 대학출판문화원,2022
361,400,(새) 연세한국어 말하기와 쓰기 : 일본어판. 3-2,연세대학교. 한국어학당,https://library.yonsei.ac.kr/search/detail/CATTOT000001978832,연세대학교 대학출판문화원,2019
362,400,(새) 연세한국어 어휘와 문법 : 영어판. 2-1,연세대학교. 한국어학당,https://library.yonsei.ac.kr/search/detail/CATTOT000001967040,연세대학교 대학출판문화원,2019
363,400,(새) 연세한국어 어휘와 문법. 4-1,연세대학교. 한국어학당,https://library.yonsei.ac.kr/search/detail/CATTOT000002008861,연세대학교 대학출판문화원,2020
364,400,(새) 연세한국어 어휘와 문법. 4-2,연세대학교. 한국어학당,https://library.yonsei.ac.kr/search/detail/CATTOT000002008862,연세대학교 대학출판문화원,2020
365,400,(새) 연세한국어 어휘와 문법. 5-1,연세대학교. 한국어학당,https://library.yonsei.ac.kr/search/detail/CATTOT000002072420,연세대학교 대학출판문화원,2021
366,400,(새) 연세한국어 어휘와 문법. 5-2,연세대학교. 한국어학당,https://library.yonsei.ac.kr/search/detail/CATTOT000002072419,연세대학교 대학출판문화원,2021
367,400,(새) 연세한국어 어휘와 문법. 6-2,연세대학교. 한국어학당,https://library.yonsei.ac.kr/search/detail/CATTOT000002072421,연세대학교 대학출판문화원,2021
368,400,(시원스쿨) 처음토익 850+ : LC+RC+모의고사,시원스쿨어학연구소,https://library.yonsei.ac.kr/search/detail/CATTOT000002095682,시원스쿨Lab : 에스제이더블유인터내셔널,2021
369,400,(알기쉬운) 노르웨이어 입문,엄진섭,https://library.yonsei.ac.kr/search/detail/CATTOT000001919127,明志出版社,1996
370,400,(여행필수) 러시아어회화,박문신,https://library.yonsei.ac.kr/search/detail/CATTOT000000085235,문예림,1998
371,400,(외국인을 위한) 한국어발음 47. 2,서울대학교. 언어교육원,https://library.yonsei.ac.kr/search/detail/CATTOT000000796687,Korea Language PLUS,2009
