,subject,title,link
68,CYBERSECURITY,Introduction to cyber-warfare : a multidisciplinary approach,https://library.yonsei.ac.kr/search/detail/CAT000002121364
69,CYBERSECURITY,Unipolarity and world politics : a theory and its implications,https://library.yonsei.ac.kr/search/detail/CAT000002167220
70,CYBERSECURITY,Nuclear politics : the strategic causes of proliferation,https://library.yonsei.ac.kr/search/detail/CAT000002166203
71,EMPIRES IN WORLD HISTORY,Unfinished empire : the global expansion of Britain,https://library.yonsei.ac.kr/search/detail/CAT000001671392
72,ESG경영과기업지배구조,투자의 미래 ESG : 이기적인 투자자의 이타적인 투자법,https://library.yonsei.ac.kr/search/detail/CAT000002086150
73,ESG경영과기업지배구조,2050 ESG 혁명 : 개별 기업을 넘어 자본시장과 한 국가의 성패를 가를 새로운 경영 패러다임,https://library.yonsei.ac.kr/search/detail/CAT000002111347
74,ESG경영과기업지배구조,(ESG 시대의) 사회적 가치와 지속가능경영,https://library.yonsei.ac.kr/search/detail/CAT000002087279
75,ESG경영과기업지배구조,ESG 2.0 : 자본주의가 선택한 미래 생존 전략,https://library.yonsei.ac.kr/search/detail/CAT000002112324
76,EU의언어문화정책,일반이성문법,https://library.yonsei.ac.kr/search/detail/CAT000000795120
77,FINANCIAL ACCOUNTING,Financial accounting : international financial reporting standards,https://library.yonsei.ac.kr/search/detail/CAT000002076312
78,Global Business Negotiation and Dealmaking,Never split the difference : negotiating as if your life depended on it,https://library.yonsei.ac.kr/search/detail/CAT000001951598
79,Global Business Negotiation and Dealmaking,3-D negotiation : powerful tools to change the game in your most important deals,https://library.yonsei.ac.kr/search/detail/CAT000001661723
80,Global Business Negotiation and Dealmaking,Dealmaking : the new strategy of negotiauctions,https://library.yonsei.ac.kr/search/detail/CAT000002046364
81,Global Business Negotiation and Dealmaking,Negotiating the impossible : how to break deadlocks and resolve ugly conflicts (without money or muscle),https://library.yonsei.ac.kr/search/detail/CAT000002126552
82,Human resource management for technology business,Powerful : building a culture of freedom and responsibility,https://library.yonsei.ac.kr/search/detail/CAT000002191364
83,Human resource management for technology business,Human resource management,https://library.yonsei.ac.kr/search/detail/CAT000002195373
84,Human resource management for technology business,Work rules! : insights from inside Google that will transform how you live and lead,https://library.yonsei.ac.kr/search/detail/CAT000001804256
85,INFORMATION SYSTEMS AND INFORMATION SOCIETY,Essentials of management information systems,https://library.yonsei.ac.kr/search/detail/CAT000001951568
86,INFORMATION SYSTEMS AND INFORMATION SOCIETY,Essentials of management information systems,https://library.yonsei.ac.kr/search/detail/CAT000001867067
87,INFORMATION SYSTEMS AND INFORMATION SOCIETY,Essentials of management information systems,https://library.yonsei.ac.kr/search/detail/CAT000002068554
88,INTEGRATED BRAND MANAGEMENT AND VMD,"Experiential marketing : how to get customers to sense, feel, think, act, and relate to your company and brands",https://library.yonsei.ac.kr/search/detail/CAT000001557046
89,INTEGRATED BRAND MANAGEMENT AND VMD,"The experience economy : competing for customer time, attention, and money",https://library.yonsei.ac.kr/search/detail/CAT000002009169
90,INTEGRATED BRAND MANAGEMENT AND VMD,Authenticity : what consumers really want,https://library.yonsei.ac.kr/search/detail/CAT000001355753
91,INTERNATIONAL LAW AND GOVERNANCE,International law,https://library.yonsei.ac.kr/search/detail/CAT000001995561
92,INTRODUCTION TO ASIAN STUDIES,"Archaeology and history of Toraijin : human, technological, and cultural flow from the Korean Peninsula to the Japanese Archipelago c. 800 BC-AD 600",https://library.yonsei.ac.kr/search/detail/CAT000002110553
93,INTRODUCTION TO INTEGRATED SCIENCE AND ENGINEERING,Principles of colloid and surface chemistry,https://library.yonsei.ac.kr/search/detail/CAT000001569589
94,INTRODUCTION TO KOREAN POLITICS & GOVERNMENT,Routledge handbook of Korean politics and public administration,https://library.yonsei.ac.kr/search/detail/CAT000002001665
95,INTRODUCTION TO KOREAN POLITICS & GOVERNMENT,Korea's place in the sun : a modern history,https://library.yonsei.ac.kr/search/detail/CAT000001580672
96,MFA학위프로젝트 C,실낙원,https://library.yonsei.ac.kr/search/detail/CAT000000852266
97,MFA학위프로젝트 C,영화 예술,https://library.yonsei.ac.kr/search/detail/CAT000000804602
98,MFA학위프로젝트 C,영상 제작의 미학적 원리와 방법,https://library.yonsei.ac.kr/search/detail/CAT000001776152
99,MODERN FRENCH HISTORY,Strange defeat : a statement of evidence written in 1940,https://library.yonsei.ac.kr/search/detail/CAT000001383775
100,MUSIC IN THE TWENTIETH CENTURY,Music in the twentieth and twenty-first centuries,https://library.yonsei.ac.kr/search/detail/CAT000001807921
101,POLITICAL PARTIES AND ELECTIONS IN COMPARATIVE PERSPECTIVE,The politics of electoral systems,https://library.yonsei.ac.kr/search/detail/CAT000002140336
102,RECONCILIATION AND JUSTICE IN EAST ASIA,Routledge handbook of memory and reconciliation in East Asia,https://library.yonsei.ac.kr/search/detail/CAT000002080581
103,Security and Foreign Policy,Security : a new framework for analysis,https://library.yonsei.ac.kr/search/detail/CAT000001315723
104,THEORIES OF INTERNATIONAL RELATIONS,Security studies : a reader,https://library.yonsei.ac.kr/search/detail/CAT000001656638
105,THEORIES OF INTERNATIONAL RELATIONS,Little brother,https://library.yonsei.ac.kr/search/detail/CAT000001892854
106,THEORIES OF INTERNATIONAL RELATIONS,International relations theories : discipline and diversity,https://library.yonsei.ac.kr/search/detail/CAT000001662209
107,TOPICS IN INTELLECTUAL HISTORY,The Oxford handbook of John Henry Newman,https://library.yonsei.ac.kr/search/detail/CAT000002089452
108,TOPICS IN INTELLECTUAL HISTORY,The Oxford handbook of John Henry Newman,https://library.yonsei.ac.kr/search/detail/CAT000002089452
109,TOPICS IN INTELLECTUAL HISTORY,The Cambridge companion to John Henry Newman,https://library.yonsei.ac.kr/search/detail/CAT000001789899
110,TOPICS IN POSTCOLONIAL STUDIES,Frankenstein,https://library.yonsei.ac.kr/search/detail/CAT000001608314
111,TOPICS IN POSTCOLONIAL STUDIES,Things fall apart,https://library.yonsei.ac.kr/search/detail/CAT000001280687
112,TOPICS IN POSTCOLONIAL STUDIES,The Norton anthology of English literature . v. 2,https://library.yonsei.ac.kr/search/detail/CAT000001643565
113,TOPICS IN POSTCOLONIAL STUDIES,Foe,https://library.yonsei.ac.kr/search/detail/CAT000001256237
114,TOPICS IN POSTCOLONIAL STUDIES,The Merchant of Venice,https://library.yonsei.ac.kr/search/detail/CAT000001260581
115,TOPICS IN POSTCOLONIAL STUDIES,Persians,https://library.yonsei.ac.kr/search/detail/CAT000001909349
116,TOPICS IN POSTCOLONIAL STUDIES,A tempest : based on Shakespeare's The tempest : adaptation for a Black theatre,https://library.yonsei.ac.kr/search/detail/CAT000001612224
117,TOPICS IN POSTCOLONIAL STUDIES,M. Butterfly,https://library.yonsei.ac.kr/search/detail/CAT000001618486
118,TOPICS IN POSTCOLONIAL STUDIES,Othello,https://library.yonsei.ac.kr/search/detail/CAT000002076310
119,TOPICS IN POSTCOLONIAL STUDIES,"Oroonoko, and other writings",https://library.yonsei.ac.kr/search/detail/CAT000001281131
120,WORLD WAR I: GLOBAL PERSPECTIVES,The First World War,https://library.yonsei.ac.kr/search/detail/CAT000001624577
121,가족사회학,가족과 친밀성의 사회학,https://library.yonsei.ac.kr/search/detail/CAT000002160273
122,가족생활과법,친족상속법 강의,https://library.yonsei.ac.kr/search/detail/CAT000002164935
123,가족생활교육,가족생활교육,https://library.yonsei.ac.kr/search/detail/CAT000002039726
124,가족치료의이론과실제,가족치료의 이해,https://library.yonsei.ac.kr/search/detail/CAT000001899656
125,가족치료의이론과실제,가족치료 : 모델과 사례,https://library.yonsei.ac.kr/search/detail/CAT000000225662
126,가족치료의이론과실제,가족평가 핸드북,https://library.yonsei.ac.kr/search/detail/CAT000000038705
127,건축설계3,건축의 시간 영원한 현재 : 김봉렬의 건축 인문학,https://library.yonsei.ac.kr/search/detail/CAT000002194754
128,건축설계3,건축예술의 체득 : 건축 의장론,https://library.yonsei.ac.kr/search/detail/CAT000000300039
129,건축설계3,서울 이야기,https://library.yonsei.ac.kr/search/detail/CAT000000209624
130,건축설계3,건축과 감각,https://library.yonsei.ac.kr/search/detail/CAT000000844000
131,건축설계3,"서울 선언 : 문헌학자 김시덕의 서울 걷기, 2002~2018",https://library.yonsei.ac.kr/search/detail/CAT000001903256
132,건축설계3,"서울, 어느 날 소설이 되다 : 테마 소설집",https://library.yonsei.ac.kr/search/detail/CAT000000248955
133,건축설계3,서울 어바니즘 : 서울 도시형태의 회고적 읽기,https://library.yonsei.ac.kr/search/detail/CAT000002132411
134,건축설계3,오래된 서울,https://library.yonsei.ac.kr/search/detail/CAT000000857985
135,건축설계3,미국 대도시의 죽음과 삶,https://library.yonsei.ac.kr/search/detail/CAT000000751350
136,건축설계3,건축에게 시대를 묻다 : 민현식의 한국 현대건축 읽기,https://library.yonsei.ac.kr/search/detail/CAT000000146814
137,경영윤리와지속가능경영포럼,윤리적으로 경영하라,https://library.yonsei.ac.kr/search/detail/CAT000001933931
138,경영통계학,(켈러의) 경영경제통계학 : 엑셀의 실전적 활용,https://library.yonsei.ac.kr/search/detail/CAT000000232475
139,경영협상론,Dealmaking : the new strategy of negotiauctions,https://library.yonsei.ac.kr/search/detail/CAT000002046364
140,경영협상론,3-D negotiation : powerful tools to change the game in your most important deals,https://library.yonsei.ac.kr/search/detail/CAT000001661723
141,경영협상론,Never split the difference : negotiating as if your life depended on it,https://library.yonsei.ac.kr/search/detail/CAT000001951598
142,경영협상론,Negotiating the impossible : how to break deadlocks and resolve ugly conflicts (without money or muscle),https://library.yonsei.ac.kr/search/detail/CAT000002126552
143,경영협상론,Dealmaking : the new strategy of negotiauctions,https://library.yonsei.ac.kr/search/detail/CAT000002046364
144,경영협상론,3-D negotiation : powerful tools to change the game in your most important deals,https://library.yonsei.ac.kr/search/detail/CAT000001661723
145,계량경제학 1,Econometric analysis of cross section and panel data,https://library.yonsei.ac.kr/search/detail/CAT000001618387
146,계량경제학 1,The econometrics of financial markets,https://library.yonsei.ac.kr/search/detail/CAT000001569024
147,계량경제학 1,Time series analysis,https://library.yonsei.ac.kr/search/detail/CAT000001490795
148,계량경제학 1,Econometric methods,https://library.yonsei.ac.kr/search/detail/CAT000001282793
149,계량경제학 1,Econometric analysis,https://library.yonsei.ac.kr/search/detail/CAT000002020923
150,계량경제학 1,Econometrics,https://library.yonsei.ac.kr/search/detail/CAT000001262687
151,계량경제학 1,Econometrics,https://library.yonsei.ac.kr/search/detail/CAT000002140140
152,계량경제학 1,Econometric analysis of cross section and panel data,https://library.yonsei.ac.kr/search/detail/CAT000001618387
153,계량경제학 2,A first course in econometrics,https://library.yonsei.ac.kr/search/detail/CAT000002193581
154,계량경제학 2,Econometrics,https://library.yonsei.ac.kr/search/detail/CAT000002140140
155,계량경제학 2,Time series analysis,https://library.yonsei.ac.kr/search/detail/CAT000001490795
156,계량경제학 2,Econometric analysis,https://library.yonsei.ac.kr/search/detail/CAT000002020923
157,계량경제학 2,Econometric methods,https://library.yonsei.ac.kr/search/detail/CAT000001282793
158,계량경제학 2,Asymptotic theory for econometricians,https://library.yonsei.ac.kr/search/detail/CAT000001600497
159,계량경제학 2,Econometrics,https://library.yonsei.ac.kr/search/detail/CAT000002140140
160,계량경제학 2,Econometrics,https://library.yonsei.ac.kr/search/detail/CAT000002140140
161,계량경제학(1),Introduction to econometrics,https://library.yonsei.ac.kr/search/detail/CAT000001989498
162,계량경제학의 특수 문제,"Estimation, inference, and specification analysis",https://library.yonsei.ac.kr/search/detail/CAT000001285658
163,계량분석응용,"Mastering ""metrics"" : the path from cause to effect",https://library.yonsei.ac.kr/search/detail/CAT000001674441
164,계량분석응용,(고수들의) 계량경제학 : 인과관계란 무엇인가?,https://library.yonsei.ac.kr/search/detail/CAT000001832423
165,계량정치방법론,The fundamentals of political science research,https://library.yonsei.ac.kr/search/detail/CAT000001668192
166,계량정치방법론,The fundamentals of political science research,https://library.yonsei.ac.kr/search/detail/CAT000001668192
167,고급관현악법,관현악기법 연구,https://library.yonsei.ac.kr/search/detail/CAT000000484299
168,고대그리스의인종주의,"The Complete Greek tragedies, v. 2, Sophocles",https://library.yonsei.ac.kr/search/detail/CAT000001469989
169,고대그리스의인종주의,"Complete Greek tragedies, v. 1, Aeschylus",https://library.yonsei.ac.kr/search/detail/CAT000001470041
170,고대그리스의인종주의,The Iliad,https://library.yonsei.ac.kr/search/detail/CAT000001586577
171,고대그리스의인종주의,"The complete Greek tragedies, v. 4, Euripides",https://library.yonsei.ac.kr/search/detail/CAT000001446034
172,고대그리스의인종주의,"The complete Greek tragedies, v. 3, Euripides",https://library.yonsei.ac.kr/search/detail/CAT000001445970
173,고대그리스의인종주의,The complete plays of Aristophanes,https://library.yonsei.ac.kr/search/detail/CAT000001679319
174,고대그리스의인종주의,The Odyssey,https://library.yonsei.ac.kr/search/detail/CAT000001586578
175,고대중세서양정치사상,아리스토텔레스 정치학 : 최선의 공동체를 위하여,https://library.yonsei.ac.kr/search/detail/CAT000001932695
176,고대중세서양정치사상,Plato's republic,https://library.yonsei.ac.kr/search/detail/CAT000001372001
177,고대중세서양정치사상,소크라테스의 변론 [외],https://library.yonsei.ac.kr/search/detail/CAT000000827089
178,고대중세서양정치사상,Politics,https://library.yonsei.ac.kr/search/detail/CAT000001872182
179,고대중세서양정치사상,국가,https://library.yonsei.ac.kr/search/detail/CAT000000848382
180,고대중세서양정치사상,The trials of Socrates : six classic texts,https://library.yonsei.ac.kr/search/detail/CAT000002004882
181,고등악리,조성음악의 구조와 분석,https://library.yonsei.ac.kr/search/detail/CAT000000830541
182,고등악리,(연주자를 위한) 조성음악분석. 2,https://library.yonsei.ac.kr/search/detail/CAT000001898407
183,고체역학,Mechanics of materials,https://library.yonsei.ac.kr/search/detail/CAT000001649240
184,고체역학,Engineering mechanics Statics . v. 1,https://library.yonsei.ac.kr/search/detail/CAT000001654287
185,고체역학,"Engineering mechanics. statics SI version . v. 1, Statics",https://library.yonsei.ac.kr/search/detail/CAT000002077283
186,고체역학,Mechanics of materials,https://library.yonsei.ac.kr/search/detail/CAT000002070019
187,고체역학,"Engineering mechanics . v. 1, Statics",https://library.yonsei.ac.kr/search/detail/CAT000001867446
188,고체의전자이론,Electronic properties of materials,https://library.yonsei.ac.kr/search/detail/CAT000001636159
189,고체의전자이론,Elementary Solid State Physics : principles and applications,https://library.yonsei.ac.kr/search/detail/CAT000001656784
190,고체의전자이론,Introductory quantum mechanics,https://library.yonsei.ac.kr/search/detail/CAT000001286584
191,고체의전자이론,Introduction to magnetic materials,https://library.yonsei.ac.kr/search/detail/CAT000001628922
192,고체의전자이론,Introduction to solid state physics,https://library.yonsei.ac.kr/search/detail/CAT000001289227
193,공간디자인과문화,House form and culture,https://library.yonsei.ac.kr/search/detail/CAT000001474083
194,공간디자인과문화,The ten most influential buildings in history : architecture's archetypes,https://library.yonsei.ac.kr/search/detail/CAT000001954931
195,공간디자인과문화,The geography of nowhere : the rise and decline of America's man-made landscape,https://library.yonsei.ac.kr/search/detail/CAT000001992468
196,공간디자인과문화,The culture code : an ingenious way to understand why people around the world live and buy as they do,https://library.yonsei.ac.kr/search/detail/CAT000001325318
197,공간디자인과문화,Gender space architecture : an interdisciplinary introduction,https://library.yonsei.ac.kr/search/detail/CAT000001280130
198,공간디자인과문화,The ten most influential buildings in history : architecture's archetypes,https://library.yonsei.ac.kr/search/detail/CAT000001954931
199,공급사슬애널리틱스,SPSS를 이용한 통계데이터분석,https://library.yonsei.ac.kr/search/detail/CAT000002059795
200,공학수학(4),Contemporary linear algebra,https://library.yonsei.ac.kr/search/detail/CAT000001265443
201,과학영어논술,Essentials of writing biomedical research papers,https://library.yonsei.ac.kr/search/detail/CAT000002093651
202,과학영어논술,(Mimi Zeiger의) 생의학 영어논문 작성법,https://library.yonsei.ac.kr/search/detail/CAT000001884588
203,과학영어논술,Essentials of writing biomedical research papers,https://library.yonsei.ac.kr/search/detail/CAT000002093651
204,관악문헌,오케스트라 : 역사 작곡가 양식,https://library.yonsei.ac.kr/search/detail/CAT000000023404
205,관악문헌,The study of orchestration,https://library.yonsei.ac.kr/search/detail/CAT000001389508
206,관악문헌,The orchestra,https://library.yonsei.ac.kr/search/detail/CAT000001570832
207,교육심리학,교육심리학 : 이론과 실제,https://library.yonsei.ac.kr/search/detail/CAT000000849045
208,교육심리학,교육심리학 : 교육실제를 보는 창,https://library.yonsei.ac.kr/search/detail/CAT000001747790
209,교육심리학,교육심리학,https://library.yonsei.ac.kr/search/detail/CAT000000908182
210,교육심리학,교육심리학 : 이론과 실제,https://library.yonsei.ac.kr/search/detail/CAT000000849045
211,교육심리학,교육심리학 : 교육실제를 보는 창,https://library.yonsei.ac.kr/search/detail/CAT000001747790
212,교육심리학,Educational psychology : windows on classrooms,https://library.yonsei.ac.kr/search/detail/CAT000001867377
213,교육심리학,교육심리학,https://library.yonsei.ac.kr/search/detail/CAT000001922600
214,교육심리학,Educational psychology : theory and practice,https://library.yonsei.ac.kr/search/detail/CAT000001656362
215,교육연구방법론,(jamovi를 이용한) 알기 쉬운 통계분석 : 기술통계에서 다층모형까지,https://library.yonsei.ac.kr/search/detail/CAT000002041585
216,교육의 비교문화적 연구,"비교문화적으로 본 유아교육기관, 그 뒷이야기",https://library.yonsei.ac.kr/search/detail/CAT000000862386
217,구약원전강독4,Gesenius' Hebrew grammar,https://library.yonsei.ac.kr/search/detail/CAT000001513599
218,구약원전강독4,Biblia Hebraica Stuttgartensia,https://library.yonsei.ac.kr/search/detail/CAT000001264039
219,구약원전강독4,A grammar of biblical Hebrew,https://library.yonsei.ac.kr/search/detail/CAT000001668748
220,구약원전강독4,(게제니우스) 히브리어 문법,https://library.yonsei.ac.kr/search/detail/CAT000000051821
221,구약원전강독4,A grammar for Biblical Hebrew,https://library.yonsei.ac.kr/search/detail/CAT000001579460
222,구조해석,Structural analysis,https://library.yonsei.ac.kr/search/detail/CAT000001883680
223,국가와교회,Church and state in confrontation,https://library.yonsei.ac.kr/search/detail/CAT000001667901
224,국가와교회,공산주의와 기독교,https://library.yonsei.ac.kr/search/detail/CAT000000404770
225,국가와교회,민주주의를 꽃피우는 공공신학,https://library.yonsei.ac.kr/search/detail/CAT000000890851
226,국가와교회,基督敎 倫理,https://library.yonsei.ac.kr/search/detail/CAT000000270718
227,국가와교회,Christian perspectives on politics,https://library.yonsei.ac.kr/search/detail/CAT000001277613
228,국가와교회,基督敎와 國家,https://library.yonsei.ac.kr/search/detail/CAT000000295312
229,국가와교회,프로테스탄티즘의 윤리와 자본주의 정신,https://library.yonsei.ac.kr/search/detail/CAT000000487520
230,국가와교회,그리스도인과 국가,https://library.yonsei.ac.kr/search/detail/CAT000000366269
231,국가와교회,Soul in society : the making and renewal of social Christianity,https://library.yonsei.ac.kr/search/detail/CAT000001529009
232,국가와교회,The priestly kingdom : social ethics as gospel,https://library.yonsei.ac.kr/search/detail/CAT000001431468
233,국가와교회,통일신학을 향하여 : 제3세계 기독교윤리,https://library.yonsei.ac.kr/search/detail/CAT000000258917
